"metric_key","metric_label","model_id","model_label","formula","model_rows","r_squared","adjusted_r_squared","aic","hdd18_coefficient_kwh","has_guests_flag_coefficient_kwh","nights_coefficient_kwh","log1p_nights_coefficient_kwh","nights_sq_coefficient_kwh","occupied_apartments_estimated_coefficient_kwh","arrivals_coefficient_kwh","occupancy_delta_nights_coefficient_kwh","temp_mean_c_coefficient_kwh","sunshine_hours_coefficient_kwh","is_weekend_flag_coefficient_kwh"
"real_electricity","Realer Stromverbrauch","model1_hdd18","Modell 1: Verbrauch ~ hdd18","real_electricity_kwh ~ hdd18",361,0.156406803688361,0.154056961915905,2435.15705259484,0.437278001917504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"real_electricity","Realer Stromverbrauch","model2_hdd18_has_guests_flag","Modell 2: Verbrauch ~ hdd18 + has_guests_flag","real_electricity_kwh ~ hdd18 + has_guests_flag",361,0.458885825513189,0.455862841298179,2276.85858244628,0.571621360210096,8.73393284007995,NA,NA,NA,NA,NA,NA,NA,NA,NA
"real_electricity","Realer Stromverbrauch","model3_hdd18_has_guests_flag_nights","Modell 3: Verbrauch ~ hdd18 + has_guests_flag + nights","real_electricity_kwh ~ hdd18 + has_guests_flag + nights",361,0.531781539632321,0.527846930721668,2226.62357288879,0.572517565062367,0.239373311544401,2.00176092446059,NA,NA,NA,NA,NA,NA,NA,NA
"real_electricity","Realer Stromverbrauch","model4_extended_operational","Modell 4: Produktionsmodell mit HDD18-Spline, Sonne, Betrieb und Saison","real_electricity_kwh ~ splines::ns(hdd18, 3) + occupied_apartments_estimated +     arrivals + occupancy_delta_nights + sunshine_hours + is_weekend_flag +     factor(season_cluster)",360,0.591542722551274,0.579839075632972,2183.56853720802,NA,NA,NA,NA,NA,3.92022130039451,2.69043953036201,-2.63465658625384,NA,-0.158490525587281,-3.06371088140808
"real_electricity","Realer Stromverbrauch","model5_extended_nonlinear","Modell 5: komplexes Gastmodell mit Wetter und Betriebsmerkmalen","real_electricity_kwh ~ has_guests_flag + log1p_nights + nights_sq +     occupied_apartments_estimated + arrivals + temp_mean_c +     sunshine_hours + factor(weekday_iso) + factor(season_cluster)",361,0.568295654651709,0.549525900506131,2221.31253366062,NA,-5.27156557049916,NA,13.6947636059919,0.231730784523273,-5.91086145133792,0.173739321773303,NA,-0.491282057315263,-0.206273963620318,NA
"heat","Fernwaerme","model1_hdd18","Modell 1: Verbrauch ~ hdd18","heat_kwh ~ hdd18",365,0.944985260097441,0.944833704340133,3630.44094983768,20.6653443790008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"heat","Fernwaerme","model2_hdd18_has_guests_flag","Modell 2: Verbrauch ~ hdd18 + has_guests_flag","heat_kwh ~ hdd18 + has_guests_flag",365,0.949301594693852,0.949021493007078,3602.61800762965,20.9900920628393,20.3323334685792,NA,NA,NA,NA,NA,NA,NA,NA,NA
"heat","Fernwaerme","model3_hdd18_has_guests_flag_nights","Modell 3: Verbrauch ~ hdd18 + has_guests_flag + nights","heat_kwh ~ hdd18 + has_guests_flag + nights",365,0.949799637862089,0.949382460337397,3601.01464878945,20.9915024959224,6.63208923328317,3.22852841015036,NA,NA,NA,NA,NA,NA,NA,NA
"heat","Fernwaerme","model4_extended_operational","Modell 4: erweitert mit HDD18^2, Betrieb und Saison","heat_kwh ~ hdd18 + I(hdd18^2) + has_guests_flag + log1p_nights +     occupied_apartments_estimated + arrivals + is_weekend_flag +     factor(season_cluster)",365,0.959257297510266,0.95822438392602,3536.82254240975,14.5899886357756,-57.6242969498246,NA,80.2953133537803,NA,-22.6257259152113,1.63882336793485,NA,NA,NA,0.528696553938413
"heat","Fernwaerme","model5_extended_nonlinear","Modell 5: erweitert mit nights^2 und weekday","heat_kwh ~ hdd18 + I(hdd18^2) + has_guests_flag + log1p_nights +     nights_sq + occupied_apartments_estimated + arrivals + factor(weekday_iso) +     factor(season_cluster)",365,0.959479074773229,0.957737487729099,3546.83028820633,14.5792323113713,-53.4618972717916,NA,76.4575694347878,0.101319934662769,-22.665268888887,1.34670638807898,NA,NA,NA,NA
